time,daily_return,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",Fear_Greed_Classification,high,volume,UEMP15T26,UEMP27OV,PERMITW,TB3SMFFM,Fear_Greed_Value
2021-04-07,-0.0349881878222483,-6.598071633933546,-7.172295445463259,-6.538687785471478,0.0013629938560653,0.0007675588181116,0.0014463852219967,Greed,58639.0,8848.715118,1256,4053,418.0,-0.05,72.0
2021-04-08,0.0383831885922589,-7.446346268114923,-7.216902570363833,-6.55416243505896,0.0005835699297346,0.0007340726394897,0.0014241752068268,Greed,58155.0,4482.27991185,1256,4053,418.0,-0.05,73.0
2021-04-09,0.0004130098089829,-7.861112048190309,-7.261381883760526,-6.593521554010858,0.0003854449995389,0.0007021370930495,0.001369209717654,Greed,58880.0,3749.30343398,1256,4053,418.0,-0.05,70.0
2021-04-10,0.0288643478859187,-7.086611208394267,-7.239985591232481,-6.625336944067774,0.0008362263663431,0.0007173220957621,0.0013263334555386,Greed,61243.0,9794.54247946,1256,4053,418.0,-0.05,70.0
2021-04-11,0.0036781916672239,-7.312071632070466,-7.227259300177165,-6.65698898348001,0.0006674329433944,0.0007265092809346,0.0012850097366809,Extreme Greed,60722.0,4646.54299812,1256,4053,418.0,-0.05,76.0
2021-04-12,-0.0026319296375266,-7.323074957784533,-7.208390956742559,-6.681874655498035,0.0006601292176528,0.0007403474486598,0.0012534260267146,Greed,61338.0,5497.92519522,1256,4053,418.0,-0.05,74.0
2021-04-13,0.0611784747970738,-7.1336604418625145,-7.187168571026046,-6.688868930183648,0.0007977937585401,0.0007562272958956,0.0012446898081564,Greed,63555.0,11265.90321334,1256,4053,418.0,-0.05,74.0
2021-04-14,-0.0098053102916411,-6.327954716596408,-7.110347275143322,-6.7285951549700345,0.0017856822630242,0.0008166113540326,0.0011962122711416,Greed,64829.0,10927.53219657,1256,4053,418.0,-0.05,75.0
2021-04-15,0.0044823091839654,-7.310822655748518,-7.095639141793307,-6.783632774658095,0.0006682670721322,0.0008287109458037,0.0011321545563328,Extreme Greed,63845.0,6613.84876353,1256,4053,418.0,-0.05,79.0
2021-04-16,-0.0296537755554149,-6.769974143470209,-6.972178614712178,-6.80525984423062,0.001147724326686,0.000937607992539,0.0011079322439122,Extreme Greed,63520.0,11538.75958436,1256,4053,418.0,-0.05,78.0
2021-04-17,-0.0227487687942337,-7.193635277611127,-6.985194585360762,-6.826632996157311,0.0007513527739002,0.0009254831936186,0.0010845035046108,Extreme Greed,62450.0,7020.45014113,1256,4053,418.0,-0.05,76.0
2021-04-18,-0.0626595691424566,-4.410038969907999,-5.96520360040306,-6.540592046007802,0.0121547046529633,0.0025665220092713,0.0014436335484813,Extreme Greed,60279.0,26325.19151257,1256,4053,418.0,-0.05,79.0
2021-04-19,-0.009648935412661,-6.238112998052732,-5.895683661222928,-6.518854167531343,0.0019535383776979,0.0027512947464206,0.0014753586480428,Greed,57500.0,8568.76027831,1256,4053,418.0,-0.05,74.0
2021-04-20,0.0151204694229731,-6.125168893479182,-5.826028021457367,-6.503123233462914,0.0021871216963945,0.002949770166114,0.001498750926467,Greed,57099.0,8392.19394508,1256,4053,418.0,-0.05,73.0
2021-04-21,-0.0476553360843324,-6.484857575358399,-5.838665619107688,-6.507454165576604,0.0015263781450267,0.0029127267206858,0.0014922739736945,Greed,56790.0,7107.56739743,1256,4053,418.0,-0.05,73.0
2021-04-22,-0.0380227365466716,-5.560855229495202,-5.69384743994631,-6.460978928865107,0.0038454862176448,0.0033666151700448,0.0015632646362338,Greed,55500.0,12687.09297783,1256,4053,418.0,-0.05,65.0
2021-04-23,-0.0115421986005831,-5.35231438320233,-5.552076377290572,-6.414013603669678,0.0047371746651176,0.0038793937898207,0.0016384352578452,Greed,52131.0,17250.31177119,1256,4053,418.0,-0.05,55.0
2021-04-24,-0.0191051664124526,-6.251721597055019,-5.509689852126502,-6.432368080007312,0.0019271335312639,0.0040473624694441,0.0016086369394893,Fear,51201.0,5980.24339471,1256,4053,418.0,-0.05,37.0
