date,daily_return,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",high,volume,UEMP15T26,UEMP27OV,PERMITW,TB3SMFFM,Fear_Greed_Value,target,Filtered_State,Regime,Regime_Prob
2021-07-29,0.0004763284978883,-6.752583694404603,-6.1307140887037175,-6.68684535418548,0.0011678583303927,0.0021750272436502,0.0012472110827123,40623.0,4069.31891192,1134,3508,422.0,-0.05,50.0,-6.303535179587041,1,Low Volatility,0.9998352479758863
2021-07-30,0.0544121151855354,-6.303535179587041,-6.050198106623057,-6.677251759296015,0.0018298245709605,0.002357394944676,0.0012592338993859,42299.15230804,7767.16038596,1134,3508,422.0,-0.05,53.0,-7.008831834285847,1,Low Volatility,0.9998193134118937
2021-07-31,-0.0183706514568117,-7.008831834285847,-6.027581232091904,-6.701949856181251,0.0009038638346667,0.0024113193525317,0.0012285141398974,42398.0,5088.76468188,1134,3508,422.0,-0.05,60.0,-6.665576356211161,1,Low Volatility,0.9998169334270814
2021-08-01,-0.0379352783609643,-6.665576356211161,-5.9968000615811325,-6.704988719186269,0.0012740221239932,0.0024866967352573,0.0012247865204575,42532.0,9115.11351414,1206,3155,446.0,-0.04,60.0,-6.795044527583658,1,Low Volatility,0.9996525744594489
2021-08-02,-0.0179984383688263,-6.795044527583658,-6.459851203938134,-6.694521825219752,0.0011193081278101,0.0015650285631568,0.0012376735570677,40449.0,4618.93627624,1206,3155,446.0,-0.04,48.0,-6.5208425087841935,1,Low Volatility,0.9998707842568394
2021-08-03,-0.0238178597274943,-6.5208425087841935,-6.519412680430177,-6.669234110465368,0.001472428046064,0.0014745348712738,0.0012693705764443,39781.0,5077.45312921,1206,3155,446.0,-0.04,48.0,-7.03443983799915,1,Low Volatility,0.9998892180660294
2021-08-04,0.0399298741397806,-7.03443983799915,-6.696300742241653,-6.677637274098975,0.000881011535915,0.001235473795686,0.00125874853964,39965.0,3672.78575181,1206,3155,446.0,-0.04,42.0,-6.2833253126394,1,Low Volatility,0.9999039596624543
2021-08-05,0.0287849432604483,-6.2833253126394,-6.618541572519269,-6.664784018742622,0.0018671812978311,0.0013353770767487,0.0012750319794781,41352.0,6434.95199694,1206,3155,446.0,-0.04,50.0,-6.305214572445894,1,Low Volatility,0.999912755118933
2021-08-06,0.0481082006505735,-6.305214572445894,-6.618870096072858,-6.637965688491001,0.0018267541555815,0.0013349384459802,0.0013096888507519,43385.0,6460.98161832,1206,3155,446.0,-0.04,52.0,-6.363439782894385,1,Low Volatility,0.9999121415602273
2021-08-07,0.0399962663928687,-6.363439782894385,-6.53480022095755,-6.628598678878643,0.0017234282851282,0.0014520190817605,0.0013220143552449,44698.0,9322.06034866,1206,3155,446.0,-0.04,69.0,-6.35882260929092,1,Low Volatility,0.9998878375724151
2021-08-08,-0.0173891581403697,-6.35882260929092,-6.490783719991923,-6.605791275270352,0.0017314040512931,0.001517359357089,0.001352512540402,45250.0,8164.9862237,1206,3155,446.0,-0.04,74.0,-6.170796801219752,1,Low Volatility,0.9998932911033976
2021-08-09,0.0568405569664101,-6.170796801219752,-6.403369397063236,-6.568693813763294,0.0020895703647975,0.0016559682480872,0.0014036296169629,46438.0,10722.72040786,1206,3155,446.0,-0.04,65.0,-6.811146678052339,1,Low Volatility,0.9998213360120164
2021-08-10,-0.0144811232648101,-6.811146678052339,-6.435898111330023,-6.554862145669747,0.001101429190883,0.0016029684116328,0.0014231790448762,46695.0,6365.38106569,1206,3155,446.0,-0.04,71.0,-7.105697544652642,1,Low Volatility,0.9998848913654205
2021-08-11,-0.0017758484609313,-7.105697544652642,-6.441312933270918,-6.55132233007072,0.0008204172180085,0.0015943120805033,0.0014282257632158,46727.0,4328.6320148,1206,3155,446.0,-0.04,70.0,-6.907320051632449,1,Low Volatility,0.9998896174310076
2021-08-12,-0.0243131053567898,-6.907320051632449,-6.522158766105767,-6.542878651979534,0.0010004353220748,0.0014704912268238,0.0014403362985807,46186.0,5644.83560922,1206,3155,446.0,-0.04,70.0,-6.923444690010624,1,Low Volatility,0.9998999487857488
2021-08-13,0.0767828200972446,-6.923444690010624,-6.607532443913743,-6.544781228878737,0.0009844330266195,0.0013501596369721,0.0014375985532233,47967.0,7388.378014110001,1206,3155,446.0,-0.04,70.0,-7.032420241437542,1,Low Volatility,0.9998949815268272
2021-08-14,-0.015699801400648,-7.032420241437542,-6.700685153510377,-6.54701983134188,0.0008827926217156,0.0012300688279131,0.0014343839410229,48141.0,4351.87608984,1206,3155,446.0,-0.04,76.0,-7.036206541823454,1,Low Volatility,0.9999067354276372
2021-08-15,-0.0013167955143997,-7.036206541823454,-6.804872007602879,-6.547211057145744,0.0008794564235812,0.0011083620239543,0.0014341096760248,47369.0,3831.34677895,1206,3155,446.0,-0.04,71.0,-6.78869802760404,1,Low Volatility,0.9999065021494802
2021-08-16,-0.0230743056441665,-6.78869802760404,-6.93741977887738,-6.535445162822609,0.0011264344063644,0.0009707711727496,0.0014510829157845,48069.0,6060.28446566,1206,3155,446.0,-0.04,72.0,-6.61071967431246,1,Low Volatility,0.9999344985051726
2021-08-17,-0.027037028974465,-6.61071967431246,-6.902081088268689,-6.515886053405618,0.0013458632176103,0.0010056903194249,0.0014797441860556,47167.0,6933.2002913,1206,3155,446.0,-0.04,72.0,-6.930035189590628,1,Low Volatility,0.9999364717812728
2021-08-18,0.000581720550397,-6.930035189590628,-6.879948152676249,-6.507480658906667,0.0009779664535507,0.0010281973530738,0.0014922344389113,46010.0,5817.45990543,1206,3155,446.0,-0.04,73.0,-6.874507675952463,1,Low Volatility,0.9999297499964147
2021-08-19,0.0457055969231456,-6.874507675952463,-6.875322298997938,-6.508484358553862,0.0010338064811708,0.0010329646615161,0.0014907374351282,47061.0,5965.52722671,1206,3155,446.0,-0.04,70.0,-7.179338418849729,1,Low Volatility,0.9999297849021886
2021-08-20,0.0548593420515342,-7.179338418849729,-6.906542940168328,-6.533352892943865,0.0007621719139618,0.0010012130739935,0.0014541221512024,49400.0,6045.10873868,1206,3155,446.0,-0.04,70.0,-7.273693605936669,1,Low Volatility,0.9999289846324702
2021-08-21,-0.0100038953536002,-7.273693605936669,-6.933916743961371,-6.534980067289121,0.0006935455729584,0.0009741777813139,0.0014517579649364,49788.0,3921.98313792,1206,3155,446.0,-0.04,78.0,-7.59089539002102,1,Low Volatility,0.9999217531686483
2021-08-22,0.0087843233613857,-7.59089539002102,-6.990389232786702,-6.536087890281723,0.0005050286538401,0.0009206880999223,0.001450150564605,49488.0,2746.27406057,1206,3155,446.0,-0.04,76.0,-7.48717264977581,1,Low Volatility,0.9999172567141469
2021-08-23,0.0052571753339016,-7.48717264977581,-7.082345604424545,-6.535310533135671,0.0005602246747554,0.0008398009954068,0.0014512782877743,50558.0,5421.73972415,1206,3155,446.0,-0.04,79.0,-7.234850249766035,1,Low Volatility,0.9999358286149554
